black_HERPUD1	blue_TKT	brown_TNIP1	green_PARP14	greenyellow_NT5E	magenta_HLA-E	pink_CERK	purple_PSME1	red_LTBP2	tan_GMPR	turquoise_HNRNPH1	yellow_ANKFY1
36.561929	141.76186	29.698467	4.347134	73.078322	58.433396	18.520941	46.504316	167.252717	2.170996	142.851508	12.38759
39.584776	136.40198700000002	28.500778000000004	4.180733	74.233469	58.267777	18.734211	47.027834000000006	172.794296	1.511378	139.385789	12.321828
39.247945	140.743457	27.924856	4.109192	76.508002	55.11281999999999	18.618757	46.479044	170.85269	1.646855	136.966391	12.141069
39.623525	141.538814	30.171941	4.3272580000000005	73.662471	56.293380000000006	18.898502	49.461777000000005	156.25953700000002	1.93544	141.590069	13.002084
38.174803	132.939598	28.647165	3.818866	75.966818	59.518038	17.290198999999998	50.050798	141.141559	1.753025	134.53096100000002	11.287383
39.831747	137.368392	28.923986	3.796333	77.530518	61.25614399999999	18.813732	49.062562	162.364421	1.957251	143.984507	12.800663
41.881455	326.532134	40.174413	6.098262	93.424619	98.676762	17.264797	67.92433100000001	109.384725	0.866791	76.230537	9.618036
48.108705	359.135712	43.189616	5.127108	94.917539	110.287029	17.873951	76.703056	101.958074	0.580634	78.337329	9.760847
45.877872	345.845159	41.649745	5.940532	95.962041	103.042622	19.238394	69.884034	107.274128	1.154054	75.81047099999999	9.410355
40.515087	144.333945	29.473358	4.286867	76.455696	58.110294	18.282572	48.661912	168.038663	1.76872	147.494416	12.582845
39.383911	146.130184	28.497304	4.451613	75.894726	56.172855000000006	19.449208	45.796706	173.038595	2.013237	142.679655	12.502356
38.748195	143.690276	30.036691	3.700618	73.432891	56.095223	19.788664	47.38944	174.047299	1.929009	140.816786	12.503316
28.262896	132.472755	35.402836	23.005634	134.799678	96.534694	14.839016	89.564427	91.530114	4.914255000000001	139.506092	16.583085
29.248272	128.758328	34.275431	22.286665	138.139136	91.109935	14.56017	83.874848	94.052063	5.387558	144.769691	15.976143
29.14635	136.85994399999998	36.06178	22.511896	134.109003	97.902992	14.863842000000002	92.491149	90.794893	4.960319999999999	140.768145	15.672607
28.774276	132.014199	34.187806	18.937681	124.478692	90.537919	14.100117	85.92307199999999	89.394467	4.980764	133.905118	14.436073
30.866090000000003	133.841288	34.540475	20.050107	130.363775	85.066761	15.002246	79.25421800000001	92.68313	4.509976999999999	137.53741000000002	15.153578
34.765491	319.281688	50.414255	15.063201	138.495501	146.232706	14.86729	105.199213	80.965696	2.669852	82.02237	11.437186
36.792423	325.199188	49.343507	13.86864	134.203774	141.780986	15.445807	99.751823	83.289878	1.793176	80.705558	11.987177
35.002958	323.36167	49.308449	13.929581	130.75423999999998	140.730968	14.8834	104.001351	83.057337	1.965876	77.83715	11.444922
28.561006	128.269525	33.445285	21.713891	133.931489	91.841708	14.066817000000002	86.084067	89.95835	4.353257	149.347687	16.605303
28.466204	131.27125	33.424024	22.233712	131.73566100000002	90.700514	14.761371	82.522439	96.43915	5.17591	146.050283	16.001223
29.735838	133.358944	34.243008	23.70253	138.94394599999998	93.731189	14.589115	85.667465	93.246782	5.631697	148.014024	16.969233
